"Kruthik, Greater",MH,64,Magical Beast,6,Large
Lamia,MM,165,Magical Beast,6,Large
"Landwyrm, Plains",Dr,172,Dragon,6,Medium
Legendary Eagle,MW,40,Animal,6,Small
Lith,Und,93,Magical Beast (Earth),6,Medium
Marzanna,Fr,144,Monstrous Humanoid (Cold),6,Medium
Minion of Set,DD,158,"Outsider (Chaotic, Evil)",6,Medium
Minotaur of Legend,MM2,214,Outsider,6,Large
"Myconid, Circle Leader",MM2,156,Plant,6,Large
"Neogi, Great Old Master",MM2,159,Aberration,6,Huge
"Nerra, Sillit",FF,129,Outsider (Extraplanar),6,Medium
Nishruu,LE,186,Outsider (Chaotic),6,Large
Nishruu,Mon,67,Outsider (Chaotic),6,Large
"Ooze, Brine",Sa,178,Ooze,6,Huge
Ormyrr,MM2,167,Monstrous Humanoid,6,Huge
Phoelarch,MM3,121,Monstrous Humanoid (Fire),6,Medium
Phthisic,XPH,206,Monstrous Humanoid (Psionic),6,Large
Plague Blight,LM,115,Undead (Evil),6,Medium
"Pudding, White",Fr,147,Ooze,6,Large
Reekmurk,FF,18,Ooze (Aquatic),6,Huge
Rot Reaver,MM3,142,Aberration,6,Medium
"Salamander, Average",MM,219,"Outsider (Extraplanar, Fire)",6,Medium
Shadow Jelly,PlH,129,Ooze (Extraplanar),6,Large
Shambling Mound,MM,222,Plant,6,Large
"Skeleton, Advanced Megaraptor",MM,227,Undead,6,Huge
"Slaad, Mud",FF,157,"Outsider (Chaotic, Extraplanar)",6,Medium
"Spectre, Fire",Gh,162,Undead (Incorporeal),6,Medium
Splinterwaif Knave,MM3,165,Fey,6,Medium
"Swarm, Dread Blossom",MM3,45,"Plant (Extraplanar, Swarm)",6,Tiny
"Swarm, Needletooth",MM3,109,Animal (Swarm),6,Tiny
"Swarm, Rancid Beetle",Sh,182,Vermin (Swarm),6,Fine
"Swarm, Rapture Locust",FF,170,Vermin (Swarm of Fine Creatures),6,Medium
Tendriculos,MM,241,Plant,6,Huge
"Tengu, Human-Headed",OA,194,Monstrous Humanoid,6,Small
"Tiger, Sea",MM3,147,Animal,6,Huge
Tsuno,OA,197,"Monstrous Humanoid (Shadowlands, Spirit)",6,Large
Uchuulon (Slime Chuul),Sto,163,Aberration (Aquatic),6,Large
"Uridezu, Demon (Tanar'ri)",MP,164,"Outsider (Chaotic, Evil)",6,Medium
"Varrangoin, Lesser",FF,183,Magical Beast (Extraplanar),6,Medium
Voidwraith,LM,131,"Undead (Air, Incorporeal)",6,Medium
Werecrocodile,Mon,92,Shapechanger,6,Huge
Will-o'-Wisp,MM,255,Aberration,6,Small
Wyvern,MM,259,Dragon,6,Large
Xill,MM,259,Outsider (Extraplanar),6,Medium
"Xorn, Average",MM,261,"Outsider (Extraplanar, Earth)",6,Medium
"Yugoloth, Mezzoloth",MM3,201,"Outsider (Evil, Extraplanar, Yugoloth)",6,Medium
Zezir,MM3,205,Magical Beast (Fire),6,Medium
"Zombie, Gray Render",MM,267,Undead,6,Large
"Zombie, Rancid Beetle",Sh,183,Undead,6,Medium
Armanite,FCI,28,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",7,Large
Bloodfire Ooze,MM4,18,Ooze (Fire),7,Huge
Dark Sniper,MM4,56,Humanoid (Elf),7,Medium
Lolth-Touched Drow Ranger,MM4,92,Humanoid (Elf),7,Medium
Lunar Ravager,MM4,95,Fey,7,Large
Greathorn Minotaur,MM4,100,Monstrous Humanoid (Earth),7,Large
Orc Plague Speaker,MM4,116,"Outsider (augmented humanoid, evil, native)",7,Medium
Greenspawn Razorfiend,MM4,146,Magical Beast (Dragonblood),7,Large
Greenspawn Sneak Raid Leader,MM4,148,Monstrous Humanoid (Dragonblood),7,Small
Yuan-ti Ignan,MM4,188,Monstrous Humanoid (Fire),7,Large
Zern Arcanovore,MM4,197,Aberration,7,Small
Scorrow,SX,81,Aberration,7,Large
Krathbairn,DrF,106,"Outsider (Chaotic, Dragonblood, Evil, Native)",7,Medium
Naityan Rakshasa,ToB,151,"Outsider (Native),Medium",7,
Twilight Guardian,DM,121,Plant (Dragonblood),7,Large
"Abishai, Blue (Baatezu)",FCII,109,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",7,Medium
Amnizu (Baatezu),FCII,112,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",7,Medium
Harvester Devil (Falxugon),FCII,117,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",7,Medium
Pain Devil (Excruciarch),FCII,132,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",7,Medium
Shunned,DrU,140,Aberration,7,Medium
Bridge Haunt,MM5,78,Undead (Incorporeal),7,Medium
Kuo-Toa Exalted Whip,MM5,95,Monstrous Humanoid (Aquatic),7,Medium
Skull Lord,MM5,154,Undead,7,Medium
Vine Spawn,MM5,198,Plant,7,Large
"Abishai, Blue (Baatezu)",Mon,13,"Outsider (Evil, Lawful)",7,Medium
Aboleth,MM,8,Aberration (Aquatic),7,Huge
"Aboleth, Psionic",XPH,185,"Aberration (Aquatic, Psionic)",7,Huge
Amnizu,MM2,67,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",7,Medium
"Animated Object, Gargantuan",MM,14,Construct,7,Gargantuan
"Ape, Legendary",MM2,137,Animal,7,Medium
Armand Warden,MM3,11,Monstrous Humanoid,7,Small
"Armanite, Demon (Tanar'ri)",MP,164,"Outsider (Chaotic, Evil)",7,Large
Babau (Tanar'ri),BV,173,"Outsider (Chaotic, Evil, Tanar'ri)",7,Medium
"Bear, Dire",MM,62,Animal,7,Large
Bearhound,MM3,16,Magical Beast,7,Large
Black Pudding,MM,201,Ooze,7,Huge
Bleakborn,LM,86,Undead,7,Medium
Bloodrot,HH,140,Undead,7,Medium
Breathdrinker,MM2,39,Elemental (Air),7,Medium
Bulette,MM,30,Magical Beast,7,Huge
Cachalot Whale,MM,283,Animal,7,Gargantuan
Ceratosaur,SK,64,Animal,7,Huge
Chaos Beast,MM,33,"Outsider (Chaotic, Extraplanar)",7,Medium
Chimera,MM,34,Magical Beast,7,Large
Chuul,MM,35,Aberration (Aquatic),7,Large
Cildabrin,LoM,141,Aberration,7,Large
Cloaker Lord,Mon,28,Aberration,7,Huge
Criosphinx,MM,233,Magical Beast,7,Large
Crossroads Guardian,Mag,183,Fey (Incorporeal),7,Huge
Crypt Chanter,LM,93,Undead,7,Medium
Dark Tree,Mon,31,Plant,7,Huge
Dark Tree,ShS,62,Plant,7,Huge
Darktentacles,MM2,54,Aberration,7,Large
Deathcoils,SK,63,Magical Beast,7,Huge
Deathshead,TM,81,Undead,7,Small
"Demon, Arrow",MM3,34,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",7,Medium
"Dinosaur, Allosaurus",MM2,70,Animal,7,Huge
"Dinosaur, Ankylosaurus",MM2,70,Animal,7,Huge
"Dinosaur, Elasmosaurus",MM,60,Animal,7,Huge
Dracotaur Rager,MM3,43,Dragon,7,Large
"Dragon, Skeletal Mature Adult Black",Dr,192,Undead,7,Huge
Dragonne,MM,89,Magical Beast,7,Large
"Drake, Ice",Dr,154,"Dragon (Air, Cold, Water)",7,Large
Drider,MM,89,Aberration,7,Large
Dweomervore,CSW,134,Dragon,7,Small
"Elemental, Large Shadow",TM,165,"Elemental (Extraplanar, Incorporeal)",7,Large
Elephant,MM,272,Animal,7,Huge
"Elk, Dire",MM2,75,Animal,7,Huge
Elsewhale,PlH,117,Magical Beast (Extraplanar),7,Gargantuan
Ephemeral Hangman,TM,161,Aberration (Extraplanar),7,Large
"Flame Snake, Lesser",FF,74,Magical Beast (Fire),7,Medium
Formian Taskmaster,MM,109,"Outsider (Lawful, Extraplanar)",7,Medium
Frost Salamander,MM2,107,Magical Beast (Cold),7,Medium
"Genie, Dao",MP,173,"Outsider (Air, Evil)",7,Large
"Ghirrash, Shadow Beast",MH,68,Outsider (Extraplanar),7,Large
Gloura,Und,88,Fey,7,Medium
"Golem, Flesh",MM,135,Construct,7,Large
"Golem, Gloom",MM3,68,"Construct (Evil, Extraplanar)",7,Large
"Golem, Web",MM3,74,Construct,7,Large
Gray Glutton,XPH,200,Magical Beast,7,Huge
Hellcat (Bezekira),MM,54,"Outsider (Evil, Extraplanar, Lawful)",7,Large
Hill giant,MM,123,Giant,7,Large
"Clockwork Horror, Platinum",MM2,47,Construct,7,Small
Huecuva,FF,94,Undead,7,Medium
"Ice Paraelemental, Huge",MP,181,"Elemental (Air, Cold)",7,Huge
"Illithidae, Embrac",LoM,154,Aberration,7,Large
Intellect Devourer,XPH,202,"Aberration (Evil, Psionic)",7,Small
Invisible Stalker,MM,160,"Elemental (Air, Extraplanar)",7,Large
Keeper,FF,111,Outsider (Extraplanar),7,Medium
Legendary Ape,MW,40,Animal,7,Medium
Legendary Wolf,MW,40,Animal,7,Medium
Leskylor,BE,177,Magical Beast,7,Large
Lillend,MM,168,"Outsider (Chaotic, Extraplanar, Good)",7,Large
"Lizard, Giant Banded",Sa,164,Animal,7,Huge
"Magma Paraelemental, Huge",MP,183,"Elemental (Earth, Fire)",7,Huge
Malasynep,Fr,142,"Aberration (Aquatic, Cold)",7,Huge
Medusa,MM,180,Monstrous Humanoid,7,Medium
"Mezzoloth, Yugoloth",MP,185,Outsider (Evil),7,Medium
Mudmaw,MM2,153,Magical Beast,7,Large
"Myconid, Sovereign",MM2,156,Plant,7,Large
"Naga, Water",MM,193,Aberration (Aquatic),7,Large
Nilshai,Una,67,Aberration,7,Medium
Nimblewright,MM2,162,Construct,7,Medium
Nycter Defender of the Cave,MM3,113,Monstrous Humanoid,7,Small
Nymph,MM,197,Fey,7,Medium
Ogre Barbarian,MM,198,Giant,7,Large
"Oni, Common",OA,180,Giant (Spirit),7,Large
"Ooze Paraelemental, Huge",MP,183,"Elemental (Earth, Water)",7,Huge
"Ooze, Conflagration",MM3,30,Ooze (Fire),7,Large
Oread,FF,134,Fey (Earth),7,Medium
Phasm,MM,208,Aberration (Shapechanger),7,Medium
Quesar,BE,180,Construct (Extraplanar),7,Medium
Quth-Maren,CSQ,123,Undead,7,Medium
Quth-Maren,FF,139,Undead,7,Medium
"Raggamoffyn, Shrapnyl",MM2,175,Construct,7,Large
Ramfish,Sto,156,Magical Beast (Aquatic),7,Large
"Redcap, Elder",MM3,138,Fey,7,Small
Remorhaz,MM,214,Magical Beast,7,Huge
Sacred Watcher,BE,182,Deathless (Augmented Humaniod),7,Medium
Scalamagdrion,Mag,188,Dragon,7,Large
Scorpionfolk,MM2,221,Monstrous Humanoid,7,Large
Seryulin,MM3,148,Aberration (Aquatic),7,Large
Silthilar,LoM,168,"Aberration (Shapechanger, Swarm)",7,Fine
"Skeleton, Cloud Giant",MM,227,Undead,7,Huge
Skirr,LM,120,Undead,7,Huge
"Slaad, Red",MM,228,"Outsider (Chaotic, Extraplanar)",7,Large
Slasrath,FF,158,Aberration (Extraplanar),7,Large
"Smoke Paraelemental, Huge",MP,184,"Elemental (Air, Fire)",7,Huge
Souleater,MoI,194,Outsider (Evil),7,Large
Spectre,MM,232,Undead (Incorporeal),7,Medium
Spellwarped Ettin,MM3,162,Aberration (Augmented Giant),7,Large
Stegosaurus,SK,66,Animal,7,Gargantuan
Stonesinger,MM3,168,Aberration (Earth),7,Large
Succubus (Demon),MM,47,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",7,Medium
Susurrus,MM3,170,Aberration,7,Large
Swamplight Lynx,MM2,191,Magical Beast,7,Large
"Swarm, Scarab Death",Sa,184,Undead (Swarm),7,Diminutive
"Taint Elemental, Large",HH,145,Elemental (Evil),7,Large
Tooth Beast,TM,88,Aberration,7,Large
"Topiary Guardian, Lion",MM3,174,Plant,7,Large
"Troll, Crystalline",MM3,178,Giant,7,Large
"Troll, Wasteland",Sa,190,Giant,7,Large
Tsucora Quori,ECS,296,"Outsider (Evil, Extraplanar, Lawful, Psionic, Quori)",7,Medium
Umber Hulk,MM,248,Aberration,7,Large
Vour,MoE,150,Undead,7,Medium
Warbound Impaler (Lesser Battlebriar),MM3,15,Plant,7,Large
"Wight, Dust",MM3,47,Undead (Earth),7,Medium
Witchknife Captain,MM3,195,Monstrous Humanoid,7,Medium
"Wolf, Legendary",MM2,137,Animal,7,Medium
"Yeti, Abominable",Fr,163,Monstrous Humanoid (Cold),7,Large
"Yuan-ti, Abomination",MM,264,Monstrous Humanoid,7,Large
Yuant-ti Abomination,MM,264,Monstrous Humanoid,7,Large
Lumi Crusader,MM3,99,Outsider,8,Medium
Dybbuk,FCI,36,"Outsider (Chaotic, Evil, Extraplanar, Incorporeal, Loumara)",8,Medium
Yochlol,FCI,54,"Outsider (Chaotic, Evil, Extraplanar, Shapechanger)",8,Medium
Bloodhulk Crusher,MM4,21,Undead,8,Huge
Arcane Guard,MM4,56,Humanoid (Elf),8,Medium
Gish,MM4,62,Humanoid (Extraplanar),8,Medium
Inferno Spider,MM4,76,"Elemental (Extraplanar, Fire)",8,Large
Jungle Giant,SX,77,Giant,8,Large
Redspawn Berserker,DM,118,Monstrous Humanoid,8,Large
"Abishai, Red (Baatezu)",FCII,110,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",8,Medium
Orthon,FCII,128,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",8,Large
Aspect of Obox-Ob,EDP,186,"Outsider (Chaotic, Evil, Extraplanar, Obyrith)",8,Large
Tangle Terror,DrU,142,Vermin,8,Medium
Warforged Raptor,FW,157,Construct,8,Large
Banshrae,MM5,10,Fey,8,Medium
Blackwing,MM5,12,Undead,8,Large
Burrow Root,MM5,14,Plant,8,Large
Deadborn Vulture,MM5,18,Magical Beast,8,Large
Solamith,MM5,28,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",8,Large
Ken-Kuni,MM5,48,Giant (Earth),8,Large
Hobgoblin Warsoul,MM5,87,Monstrous Humanoid (Goblinoid),8,Medium
Shadow Flayer,MM5,107,Aberration,8,Medium
Thoon Soldier,MM5,113,Construct,8,Medium
Bladerager Troll,MM5,180,Giant,8,Large
Tusk Terror,MM5,182,Magical Beast,8,Medium
Turlemoi,MM5,187,Monstrous Humanoid,8,Large
Aurumvorax,ERG,216,Magical Beast,8,Small
Sharn,An,153,Aberration,8,Large
"Abishai, Red (Baatezu)",Mon,13,"Outsider (Evil, Lawful)",8,Medium
All-Consuming Hunger,Und,78,Undead (Swarm),8,Diminutive
"Archon, Warden",BE,163,"Outsider (Archon, Extraplanar, Good, Lawful)",8,Large
"Arrowhawk, Elder",MM,19,"Outsider (Air, Extraplanar)",8,Large
Asura,BE,164,"Outsider (Chaotic, Extraplanar, Good)",8,Medium
Athach,MM,21,Aberrration,8,Huge
Bane Wraith,HH,139,Undead (Incorporeal),8,Medium
Behir,MM,25,Magical Beast,8,Huge
"Beholderkin, Director",LoM,137,Aberration,8,Large
"Beholderkin, Eye of the Deep",LoM,138,Aberration (Aquatic),8,Large
Bodak,MM,28,Undead (Extraplanar),8,Medium
Brass Steed,HB,153,Construct,8,Large
Carcass Crab,ECS,277,Magical Beast,8,Huge
Corruption Eater,HH,144,Aberration,8,Medium
Crypt Warden,BE,167,Deathless,8,Medium
"Cyclops, Giant",ShS,64,Giant,8,Large
"Cyclops, Lesser",DD,132,Giant,8,Large
Deepspawn,Mon,32,Aberration,8,Large
Destrachan,MM,49,Aberration,8,Large
"Dinosaur, Archelon",Sto,144,Animal,8,Huge
"Dinosaur, Quetzalcoatlus",MM2,72,Animal,8,Huge
"Dinosaur, Tyrannosaurus",MM,61,Animal,8,Huge
"Djinni, Noble",MM,114,"Outsider (Air, Extraplanar)",8,Large
"Drake, Water",Dr,157,"Dragon (Aquatic, Water)",8,Large
Drowned,MM3,46,Undead,8,Medium
Efreeti,MM,115,"Outsider (Extraplanar, Fire)",8,Large
Erinyes (Devil),MM,54,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",8,Medium
Eye of Fear and Flame,BV,177,Undead,8,Medium
"Formian, Armadon",FF,76,"Outsider (Extraplanar, Lawful)",8,Large
Garbler,TM,167,Aberration,8,Small
"Giant, Fog",Mon,50,Giant (Air),8,Huge
"Giant, Stone",MM,124,Giant (Earth),8,Large
Glaistig Mindbender,MM3,61,Fey,8,Medium
Glimmerskin,MM2,114,Outsider (Incorporeal),8,Medium
"Golem, Blood of Hextor",FF,84,Construct,8,Large
"Golem, Cadaver",HH,149,Construct,8,Large
"Golem, Serpentflesh",SK,81,Construct,8,Large
"Golem, Thayan",Mon,56,Construct,8,Medium
Gorgon,MM,137,Magical Beast,8,Large
Gravorg,MM2,119,Magical Beast,8,Large
Gray Render,MM,138,Magical Beast,8,Large
Gynosphinx,MM,233,Magical Beast,8,Large
Helmed Horror,LE,175,Construct,8,Medium
Hollyphant,BE,176,"Outsider/Large (Extraplanar, Good)",8,Small
"Horse, Legendary",MM2,138,Animal,8,Large
Jackal Lord,FF,105,Monstrous Humanoid,8,Medium
"Khumat, Shadow Beast",MH,69,Outsider (Extraplanar),8,Large
Kuldurath,FF,116,Magical Beast (Extraplanar),8,Large
"Kython, Impaler",BV,180,Aberration,8,Medium
Lammasu,MM,165,Magical Beast,8,Large
"Landwyrm, Underdark",Dr,175,Dragon,8,Large
Legendary Horse,MW,40,Animal,8,Large
Legendary Snake,MW,40,Animal,8,Large
Limbo Stalker,PlH,126,"Magical Beast (Chaotic, Extraplanar)",8,Large
Loquasphinx,TM,268,Magical Beast,8,Large
Mantimera,ShS,68,Magical Beast,8,Large
Megatherium ,FF,124,Animal,8,Huge
Mind Flayer,MM,186,Aberration,8,Medium
"Mind Flayer, Psionic",XPH,204,Aberration (Psionic),8,Medium
Mindshredder Zenthral,MM3,104,Aberration,8,Medium
Mohrg,MM,189,Undead,8,Medium
"Mummy, Salt",MM3,146,Undead,8,Medium
"Naga, Banelar",SK,72,Aberration,8,Huge
"Naga, Dark",MM,191,Aberration,8,Large
"Naga, Iridescent",SK,76,Aberration,8,Large
Nethersight Mastiff,MM2,160,Magical Beast,8,Large
"Octopus, Giant",MM,276,Animal (Aquatic),8,Large
Ogre Mage,MM,200,Giant,8,Large
"Ogre, Skullcrusher Sergeant",MM3,117,Giant,8,Large
"Ooze, Void",PlH,133,Ooze (Extraplanar),8,Large
"Otyugh, Lifeleech",MM3,119,Aberration,8,Large
Pack Fiend,PlH,128,"Magical Beast (Evil, Extraplanar)",8,Large
Palrethee (Tanar'ri),MM2,58,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",8,Medium
"Psurlon, Elder",LoM,164,Aberration,8,Medium
Rakka,FF,70,Giant (Extraplanar),8,Huge
"Rakshasa, Zakya",ECS,297,Outsider (Native),8,Medium
Rock Wyrm,SM,122,Dragon,8,Large
Scaladar,CSW,138,Construct,8,Large
Shadow Demon,BV,173,"Outsider (Chaotic, Evil)",8,Medium
"Shadow, Greater",MM,221,Undead,8,Medium
Shield Guardian,MM,223,Construct,8,Large
Shredstorm,MM3,153,Construct (Swarm),8,Fine
Sisiutl,Sto,159,Magical Beast (Aquatic),8,Huge
"Skeleton, Young Adult Red Dragon",MM,227,Undead (Fire),8,Huge
"Slaad, Blue",MM,229,"Outsider (Chaotic, Extraplanar)",8,Huge
Slaughter Wight,LM,120,Undead,8,Medium
"Snake, Legendary",MM2,138,Animal,8,Large
Soulfused Construct,MoI,195,"Construct (Incarnum, Living Construct)",8,Large
"Sphinx, Threskisphinx",Sa,188,Magical Beast,8,Large
"Swarm, Bloodfiend Locust",FF,170,"Vermin (Extraplanar, Swarm of Fine Creatures)",8,Medium
"Swarm, Hellwasp",MM,238,Magical Beast (Swarm),8,Diminutive
"Swarm, Shimmerling ",MM3,152,Fey (Swarm),8,Fine
Teant,MM,244,Plant,8,Huge
"Tiger, Dire",MM,65,Animal,8,Large
"Tortoise, Dire",Sa,151,Animal,8,Huge
Trilloch,MM3,176,"Outsider (Chaotic, Extraplanar, Incorporeal)",8,Small
"Troll, Cave",MM3,177,Giant,8,Large
Vilewight,BV,183,Undead,8,Medium
Warforged Titan,ECS,302,Construct,8,Huge
"Xorn, Elder",MM,261,"Outsider (Extraplanar, Earth)",8,Large
Yuan-ti Holy Guardian,SK,88,Monstrous Humanoid,8,Medium
"Yugoloth, Echinoloth",Sto,164,"Outsider (Aquatic, Evil, Extraplanar)",8,Large
Bulezau,FCI,33,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",9,Large
Corrupture,MM4,36,Ooze (Aquatic),9,Huge
Whisper Demon,MM4,46,"Outsider (Chaotic, Evil, Extraplanar, Incorporeal)",9,Medium
Drow Priestess,MM4,57,Humanoid (Elf),9,Medium
Lodestone Marauder,MM4,90,Aberration,9,Large
Ogre Tempest,MM4,109,Giant,9,Large
Blackspawn Stalker,MM4,134,Magical Beast (Dragonblood),9,Large
Bluespawn Burrower,MM4,138,Magical Beast (Dragonblood),9,Large
Abomination Cult Leader,MM4,186,Monstrous Humanoid,9,Large
Dreadful Lasher,MM4,193,"Outsider (Evil Extraplanar, Yugoloth)",9,Huge
Valkyrie,ToB,156,"Outsider (Chaotic, Extraplanar),Large",9,
Cesspit Ooze,Ci,128,Ooze,9,Large
Essence Reaver,SoS,147,Aberration,9,Large
Hashalaq Quori,SoS,154,"Outsider (Evil, Extraplanar, Lawful, Psionic, Quori)",9,Medium
"Demon, Carnevus",EDP,198,"Outsider (Chaotic, Evil, Extraplanar)",9,Medium
"Viper Tree, Elder",EDP,212,Plant (Extraplanar),9,Huge
Chwidencha,DrU,108,Aberration,9,Large
Fire Spider Swarm,SSL,155,"Magical Beast (Extraplanar, Evil, Fire, Swarm)",9,
Stitched Devil,MM5,36,"Outsider (Evil, Extraplanar, Lawful)",9,Large
Mockery Drone,MM5,127,Magical Beast,9,Medium
Rylkar Harridan,MM5,136,Magical Beast,9,Huge
Androsphinx,MM,232,Magical Beast,9,Large
"Archon, Hammer",RS,188,"Outsider (Archon, Earth, Extraplanar, Good, Lawful)",9,Large
"Archon, Word",TM,264,"Outsider (Archon, Extraplanar, Good, Lawful)",9,Medium
Aspect of Asmodeus,MH,47,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",9,Large
Aspect of Demogorgon,MH,49,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",9,Large
Aspect of Mephistopheles,MH,52,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",9,Large
Aspect of Orcus,MH,53,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",9,Large
"Bariaur, Defender of Ysgard",BE,165,"Outsider (Chaotic, Extraplanar, Good)",9,Large
"Bear, Legendary",MM2,138,Animal,9,Large
Bheur,Una,63,Monstrous Humanoid,9,
Bhut,FF,20,Undead (Incorporeal),9,Medium
Blade Spirit,RT,157,Undead (Incorporeal),9,Medium
Blaspheme,LM,85,Undead,9,Medium
Blood Amniote,LM,87,Undead,9,Huge
Bone Devil (Osyluth),MM,52,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",9,Large
Braxat,MM2,37,Monstrous Humanoid,9,Large
Caller from the Deeps,Sto,140,Elemental (Water),9,Huge
Caller in Darkness,XPH,191,"Undead (Incorporeal, Psionic)",9,Large
Chilling Fog,MM3,92,Ooze,9,Large
Chwidencha,FF,34,Aberration,9,Large
Delver,MM,39,Aberration,9,Huge
"Demon, Maurezhi (Tanar'ri)",CSQ,117,"Outsider (Chaotic, Evil)",9,Medium
Desmodu,DH,29,Monstrous Humanoid,9,Large
Desmodu,MM2,62,Monstrous Humanoid,9,Large
Desmodu,SS,218,Monstrous Humanoid (Large),9,
Dharculus,PlH,112,Aberration (Extraplanar),9,Medium
"Dinosaur, Triceratops",MM,61,Animal,9,Huge
"Draconian, Aurak",DCS,215,Dragon,9,Medium
Dragon Turtle,MM,88,Dragon (Water),9,Huge
"Drake, Abyssal",Dr,145,"Outsider (Chaotic, Evil, Extraplanar, Fire)",9,Huge
"Drake, Smoke",Dr,157,"Dragon (Air, Fire)",9,Large
Drider Vampire,CSQ,118,Undead,9,Large
Dune Stalker,MM2,88,"Outsider (Earth, Evil)",9,Medium
"Ecalypse, Ephemera",MP,170,Outsider,9,Large
"Elemental, Huge Shadow",TM,166,"Elemental (Extraplanar, Shadow)",9,Huge
"Ethergaunt, Red",FF,66,Aberration (Extraplanar),9,Medium
Fhorge,FF,72,Animal (Extraplanar),9,Large
Forgewraith,Sh,179,"Undead (Fire, Incorporeal)",9,Medium
Galeb Duhr,MM2,107,"Elemental (Earth, Extraplanar)",9,Medium
"Genie, Marid",MP,173,"Outsider (Chaotic, Water)",9,Large
"Giant, Frost",MM,122,Giant (Cold),9,Large
"Giant, Lesser Dusk",HH,147,Giant,9,Large
"Giant, Stone Elder",MM,124,Giant (Earth),9,Large
"Golem, Coral",Sto,150,Construct (Aquatic),9,Huge
"Golem, Grave Dirt",LM,105,Construct,9,Large
"Golem, Ice",Fr,137,Construct (Cold),9,Large
"Guardinal, Avoral",MM,141,"Outsider (Extraplanar, Good, Guradinal)",9,Medium
Gulgar,MM3,78,Monstrous Humanoid (Earth),9,Large
"Hag, Night",MM,193,"Outsider (Evil, Extraplanar)",9,Medium
Half-Troll Barbazu,FF,92,Giant (Extraplanar),9,Medium
"Hell Hound, Nessian Warhound",MM,151,"Large Outsider (Evil, Extraplanar, Fire, Lawful)",9,
Hoary Steed,EL,198,Magical Beast (Cold),9,Large
"Clockwork Horror, Adamantine",MM2,47,Construct,9,Small
Hound of the Gloom,LoM,153,Aberration,9,Large
Hulking Corpse,LM,109,Undead,9,Large
"Ice Paraelemental, Greater",MP,181,"Elemental (Air, Cold)",9,Huge
Immoth,MM2,127,"Elemental (Air, Cold, Extraplanar, Water)",9,Large
Indricothere,FF,100,Animal,9,Huge
"Inevitable, Zelekhut",MM,160,"Construct (Extraplanar, Lawful)",9,Large
Ironclad Mauler,MM3,84,Magical Beast,9,Large
Kelp Angler,FF,112,Plant (Aquatic),9,Large`
Legendary Bear,MW,40,Animal,9,Large
"Magma Paraelemental, Greater",MP,183,"Elemental (Earth, Fire)",9,Huge
Malebranche (Baatezu),MM2,67,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",9,Huge
Mastadon ,MM3,101,Animal,9,Huge
Maurezhi (Tanar'ri),FF,50,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",9,Medium
"Mind Flayer, Vampire",LoM,160,Undead,9,Medium
"Deva, Movanic",FF,57,"Outsider (Extraplanar, Good)",9,Medium
"Naga, Spirit",MM,192,Aberration,9,Large
"Narzugon, Devil (Baatezu)",MP,167,"Outsider (Evil, Lawful)",9,Medium
"Oni, Ashi no",OA,181,"Outsider (Evil, Shadowlands)",9,Large
"Oni, Go-Zu",OA,180,Giant (Spirit),9,Large
"Oni, Sanru no",OA,182,"Outsider (Evil, Shadowlands)",9,Medium
"Ooze Paraelemental, Greater",MP,183,"Elemental (Earth, Water)",9,Huge
"Ooze, Arcane",MM3,9,Ooze,9,Huge
Rage Drake,MM3,130,Dragon,9,Large
"Rhinoceros, Dire",FF,61,Animal,9,Huge
"Rilmani, Ferrumach",FF,143,Outsider (Extraplanar),9,Medium
Rimefire Eidolon,Fr,149,Fey (Cold),9,Medium
Roc,MM,215,Animal,9,Gargantuan
Rogue Eidolon,MM2,180,Construct,9,Large
"Roper, Primastic",MM3,141,Aberration,9,Large
Rukanyr,FF,144,Aberration,9,Large
Saguaro Sentinel,Sa,181,Plant,9,Huge
Saint,BE,184,"Outsider (Augmented Humanoid, Native)",9,Medium
"Shark, Dire",MM,64,Animal (Aquatic),9,Huge
"Slaad, Green",MM,230,"Outsider (Chaotic, Extraplanar)",9,Large
"Smoke Paraelemental, Greater",MP,184,"Elemental (Air, Fire)",9,Huge
"Spider, Harpoon Dread",MM3,81,Aberration,9,Huge
"Squid, Giant",MM,281,Animal (Aquatic),9,Huge
